image1,image2,image3,image4,image5,story
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/106221.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/106235.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/106238.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/106246.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/106254.jpg,"today was [female] 's wedding day . her wedding day began with a veil . one of the first pictures that [male] took showed her enjoying the ceremony . soon after the wedding , the bride and groom were married and they were so happy . the groomsmen made sure to take a great photo of [male] and [male] . they were presented with flowers and a certificate to congratulate [male] and [male] ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5705008408.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5705009668.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5705011236.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5704448107.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5713707815.jpg,we went to the location exhibit . there were many informational paperases so we could see all the different paper trails . there were even paper trails to highlight the exhibits . the paper trails were easy to read . it all sounded very educational .
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/142408086.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/142408389.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/142408540.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/142408647.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/142409086.jpg,"today , we took a group photo before the school event . there were many street performers and performers to commemorate . after the event , everyone went outside to find different places to rest and get some rest . there were two people that volunteered to help out . [female] and i were so excited to see everyone . we had to try and go to the stage to get pictures of everyone ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5399030648.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5398427983.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5398429141.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5398431783.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/5398429501.jpg,"a cold winter day at the lake . [male] spotted an animal on the lake and thought that it was a strange bird he could spot . the bird seemed peaceful , and seemed to be enjoying the cold . it then tried to fish in the water . [male] kept a close eye on the bird , but had to keep his distance from the lake ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/347377939.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/347372877.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/347372879.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/347377936.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/347377943.jpg,"the ingredients were lined up on the plate , ready for the meal . the salad was made to look healthy and delicious . the vegetables looked good when combined with the meat and vegetables . the salad was very filling . the fresh fruit makes a great dessert ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/838839789.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/839707124.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/839712180.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/839713476.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/838837247.jpg,"it was her 21st birthday and the party was so much fun . she loved the night and her favorite drinks . her best friend , [male] , was there with her to start the party . it was so nice to have [male] . he was going to take a lot of pictures . his mom was really proud of her new dress and she did n't care a lot . although her mom was sad to see [male] , she was really feeling it , as she sat in her room and thought about what a great night she would have . she really felt like her best friend ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/3297775.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/3297734.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/3297643.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/3297678.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/3297631.jpg,"there were a lot of people at the outdoor shop this year . people were out and about looking for things to look at . there was a chicken that had a tent in it , but the person had to break down into a line to get to the grocery store . there was also a line of people , who were just about ready to look at the food before it was done . as the day wore on , the group decided to go out for more street photos and videos ."
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4242487336.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4242511814.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4242566808.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4241847489.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4241880489.jpg,[female] and [female] went to a bar to have a drink . there was a lot of people having drinks . [female] was going to be drinking . her friend [female] came and they had to dance to a live music store . all of [female] 's friends seemed to like drinking and having fun .
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4352289121.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4352289661.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4352291333.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4353038184.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4353038824.jpg,i had a meeting today at organization . there were a lot of great speakers . some even gave speeches about work . there was also a lot of discussion . afterward everyone went out for a nice meal .
https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4283249791.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4283993292.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4283995394.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4283996054.jpg,https://visualstorytelling.s3-ap-northeast-1.amazonaws.com/test_needs/4283253155.jpg,"i hung the loom and i began my baking . i did some good work first , because there were not many good dishes . i made some good food dishes that i made . i then started to cook them all and used a grill to cook them . the salad was a hit and i have a pretty good taste ."
